id_pagina;serie;arquivo;pagina;trecho
1em:funcao-quadratica:grafico-da-funcao-quadratica-e-inequacoes-de-segundo-grau:teo:p08;1em;funcao-quadratica__teoria-grafico-da-funcao-quadratica-e-inequacoes-de-segundo-grau.pdf;8;encontrados no proprio portal, assim como nas referen
1em:inequacoes-produto-e-quociente-de-primeiro-grau:sistemas-de-inequacoes:teo:p06;1em;inequacoes-produto-e-quociente-de-primeiro-grau__teoria-sistemas-de-inequacoes.pdf;6;proprias video-aulas do portal utilizam a notacao ]a,b
2em:binomio-de-newton-e-o-triangulo-de-pascal:desenvolvimento-multinomial:teo:p06;2em;binomio-de-newton-e-o-triangulo-de-pascal__teoria-desenvolvimento-multinomial.pdf;6;no n n -1 n -1 proprio portal da matematica, o item [
2em:principios-basicos-de-contagem:arranjos-e-combinacoes-simples:teo:p09;2em;principios-basicos-de-contagem__teoria-arranjos-e-combinacoes-simples.pdf;9;e exercicios do proprio portal. sugestoes de leitura c
2em:trigonometria-i:mais-linhas-trigonometricas:teo:p12;2em;trigonometria-i__teoria-mais-linhas-trigonometricas.pdf;12;cas” do atual modulo no portal), que conta com a soluc
3em:conicas:parabolas:teo:p05;3em;conicas__teoria-parabolas.pdf;5;ongo do eixo-y. proprio portal, assim como nas referen
3em:funcoes-polinomiais-com-coeficientes-complexos:definicoes-basicas-de-funcoes-polinomiais-complexas:teo:p05;3em;funcoes-polinomiais-com-coeficientes-complexos__teoria-definicoes-basicas-de-funcoes-polinomiais-complexas.pdf;5;quacoes polinomiais, no portal da matematica, se da de
3em:funcoes-polinomiais-com-coeficientes-complexos:teorema-do-resto:teo:p12;3em;funcoes-polinomiais-com-coeficientes-complexos__teoria-teorema-do-resto.pdf;12;ercicios” desta aula no portal da matematica. la ha va
3em:matrizes-e-sistemas-lineares:sistemas-lineares-parte-2:teo:p06;3em;matrizes-e-sistemas-lineares__teoria-sistemas-lineares-parte-2.pdf;6;. listas encontradas no portal. uma matriz quadrada a,
6ano:fracao-como-porcentagem-e-como-probabilidade:fracao-como-probabilidade-uniao-e-intersecao-de-eventos:teo:p06;6ano;fracao-como-porcentagem-e-como-probabilidade__teoria-fracao-como-probabilidade-uniao-e-intersecao-de-eventos.pdf;6;s disponivel no site do portal da p(ac ∩bc ∩c) = · · =
9ano:semelhanca-de-triangulos-e-teorema-de-tales:segmentos-comensuraveis-e-incomensuraveis:teo:p06;9ano;semelhanca-de-triangulos-e-teorema-de-tales__teoria-segmentos-comensuraveis-e-incomensuraveis.pdf;6;s topicos adicionais do portal. http://matematica.obme
